user_id,user_password,user_address,user_status
joiner4,1,0x03834Fe94FC91CB5aE5690165bC7Ec2E81412E8A,0
joiner5,1,0x0C70b5Da1BB2aC417F0073bcd53E79222A7aA763,0
joiner14,1,0x1813992130ffDAC0D160Ce7554B8bA9aA14F46E8,0
joiner3,1,0x1B71336028F039172425c4ecd3Ac0DD41B457366,off
joiner9,1,0x1F2ed635004B9898e5e46D1C9743E8d07CE93653,0
joiner2,1,0x215a210E4fB7E5ae396b33462C404a68bEAc1855,0
joiner15,1,0x271D4b27aA1977Ab936A0ab0AaF7AB7b6a7d2A7D,0
owner,1,0x27556e0d5351236d1361D7A6524E65d83B2B629c,0
joiner13,1,0x2A4b8bc99e23e6bb9bB164d4F94c44f26C94f99b,0
joiner16,1,0x57A25F70Eb1ab162ac1E5814FbA8f44c1218fE12,0
joiner17,1,0x5aaaBb5B16f584cD626D2DaDd78b2881eF2403ae,0
initiater2,1,0x7512AA27d53d6d86b7Bf7a7f52446b4EA71bF98C,0
joiner10,1,0x89780Bd17cDaeFa92E575eFE31D5BDDd3Fd3BD13,0
initiater1,1,0x9B292EDfac1A8d408aC7482A961578536354eecB,0
joiner8,1,0xaE9c110755acFe90000d37c9412A9A615Ad776c4,0
joiner6,1,0xb0bdDa6942a51E9C3B63550B71a730f33ee0DC57,0
joiner1,1,0xd00daFCAeee2d38dCdd6ACEce3981052B39fb79f,0
joiner12,1,0xDB3632cEF0eA94d77E042FeBbEB70E6Daaf6006D,0
joiner7,1,0xdEEFAD45744D62bD880aA75f8163802da9fe6F6C,0
joiner11,1,0xe2c89894dd8A80c94021A06BE807e615ab285889,0
initiater3,1,0xE841FA4fBD50391eC44bE27147f2144a1f1a88F9,0
